SAMID HtRa fix
SAM281 -0.1138 1
SAM11 0.2779 1
SAM178 -0.1059 1
SAM344 0.06278 1
SAM289 0.02017 1
SAM320 -0.1309 1
SAM151 0.04227 1
SAM51 0.08785 1
SAM143 0.02005 1
SAM226 -0.1178 1
SAM100 0.06161 1
SAM127 0.05337 1
SAM124 -0.1855 1
SAM312 0.009052 1
SAM207 -0.1429 1
SAM279 0.05027 1
SAM293 -0.08197 1
SAM32 0.02005 1
SAM111 0.01523 1
SAM306 0.3771 1
SAM190 -0.3211 1
SAM168 -0.00913 1
SAM42 0.03277 1
SAM305 0.05917 1
SAM310 0.008408 1
SAM324 -0.1468 1
SAM273 0.04524 1
SAM245 -0.01105 1
SAM149 -0.03428 1
SAM177 -0.0319 1
SAM166 -0.05693 1
SAM180 -0.2562 1
SAM74 -0.1927 1
SAM186 0.232 1
SAM241 0.04649 1
SAM41 0.09053 1
SAM54 0.1195 1
SAM46 -0.1294 1
SAM66 -0.05177 1
SAM137 -0.00061 1
SAM87 -0.05293 1
SAM277 0.04791 1
SAM298 0.001493 1
SAM313 -0.01596 1
SAM314 -0.1627 1
SAM82 0.01463 1
